feature,perm_importance_mean,perm_importance_std
iv,0.11808641980681753,0.009904049341386608
gamma,0.06324521559021956,0.002599409750357062
strike_price,0.0625760694664145,0.0015063954544256338
sabr_rho,0.021443909455095223,0.0018037847437807292
time_to_expiry,0.017437594705104087,0.0005536792676973775
delta,0.010349732215682162,0.005252888509779742
rv_30m,0.005173432495157693,0.0020859170526638204
vega,0.004636527980605454,0.0021177779530742466
sabr_alpha,0.004102403127803933,0.0019201506922536403
option_type_enc,0.0035964800583990876,0.0004398783778200916
opt_volume,0.0012658962206637536,0.0014363445734723915
sabr_nu,0.0010654911788372634,0.0026643364538037903
sym_QUBT,0.0,0.0
option_type,0.0,0.0
sym_IONQ,0.0,0.0
sym_QBTS,0.0,0.0
sym_RGTI,0.0,0.0
sabr_beta,0.0,0.0
opt_vol_change_1m,-0.00043167306521452176,0.00017061697482550602
days_to_expiry,-0.0016609552630101887,0.0004589406695681218
stock_volume,-0.0021421032633985094,0.005911820907159167
opt_vol_roll_15m,-0.006897027906301023,0.0010137325238469108
