feature,avg_contrib
opt_vol_change_1m,0.008929328061640263
opt_volume,0.0035089030861854553
stock_volume,0.0020071344915777445
IV_QUBT,0.0014329013647511601
option_type_enc,0.001367695047520101
IV_IONQ,0.0012520881136879325
IV_QBTS,0.0011247374350205064
IVRET_RGTI,0.0006847006734460592
opt_vol_roll_15m,0.00030910212080925703
delta,0.00015373215137515217
option_type,0.0
sabr_beta,0.0
sym_QBTS,0.0
sym_QUBT,0.0
sym_IONQ,0.0
sym_RGTI,0.0
sabr_rho,-0.00028303510043770075
days_to_expiry,-0.0003882237942889333
sabr_nu,-0.00047879733028821647
IVRET_IONQ,-0.0005097896209917963
time_to_expiry,-0.0006041708402335644
IVRET_QUBT,-0.001117628300562501
IV_RGTI,-0.001363383256830275
rv_30m,-0.0017646776977926493
IVRET_QBTS,-0.0025627559516578913
strike_price,-0.002726016566157341
vega,-0.004677664954215288
gamma,-0.006625846028327942
sabr_alpha,-0.006955103017389774
iv,-0.0175207257270813
