ticker,intercept,beta,r2,n
QBTS,-2.0623392691382974e-06,-0.0032403246984335386,2.675518600336879e-06,16002.0
IONQ,-2.0423885152461257e-05,-0.00587677534048825,5.229307869103472e-05,16000.0
RGTI,-4.8981286897008616e-05,-0.0015908539215429623,5.035974633194051e-06,15970.0
QUBT,0.0008158468304145214,-0.025383774499380275,5.243343366523323e-05,15909.0
