feature,gain,weight,cover,total_gain,total_cover
gamma,20.271215438842773,918.0,949.4825439453125,18608.9765625,871625.0
iv,10.46615982055664,2133.0,1515.38671875,22324.318359375,3232320.0
vega,7.1838698387146,665.0,1445.0631103515625,4777.2734375,960967.0
delta,5.425168514251709,1017.0,1326.0885009765625,5517.396484375,1348632.0
opt_vol_roll_15m,3.825399875640869,1165.0,1076.2755126953125,4456.5908203125,1253861.0
opt_volume,3.5862269401550293,1287.0,1107.033447265625,4615.47412109375,1424752.0
opt_vol_change_1m,3.094007968902588,1078.0,2093.077880859375,3335.340576171875,2256338.0
time_to_expiry,3.051271677017212,919.0,1086.5516357421875,2804.11865234375,998541.0
sabr_rho,3.007200002670288,639.0,1348.5399169921875,1921.600830078125,861717.0
stock_volume,2.9779086112976074,1816.0,1610.114013671875,5407.8818359375,2923967.0
days_to_expiry,2.973910093307495,85.0,974.0470581054688,252.7823486328125,82794.0
sabr_alpha,2.2643487453460693,1103.0,1474.572998046875,2497.57666015625,1626454.0
option_type_enc,2.2208523750305176,181.0,2112.414306640625,401.9742736816406,382347.0
strike_price,1.7570332288742065,596.0,913.947998046875,1047.1917724609375,544713.0
rv_30m,1.7193535566329956,1351.0,1679.841552734375,2322.8466796875,2269466.0
sabr_nu,1.641764760017395,1111.0,1593.129638671875,1824.0006103515625,1769967.0
