iv_ret_fwd,iv_clip,ts_event,core_expiry_date,core_iv,core_opt_volume,core_stock_volume,core_time_to_expiry,core_strike_price,core_option_type,core_delta,core_gamma,core_vega,core_days_to_expiry,core_option_type_enc,core_rv_30m,core_opt_vol_change_1m,core_opt_vol_roll_15m,core_opt_vol_roll_5m,core_opt_vol_roll_60m,core_opt_vol_zscore_15m,core_iv_ret_1m,core_iv_ret_5m,core_iv_ret_15m,core_iv_sma_5m,core_iv_sma_15m,core_iv_std_15m,core_iv_rsi_15m,core_iv_zscore_15m,core_sabr_alpha,core_sabr_beta,core_sabr_rho,core_sabr_nu,core_moneyness,core_log_moneyness,panel_IV_ASTS,panel_IVRET_ASTS,panel_IV_SATS,panel_IVRET_SATS,sym_ASTS,sym_SATS
0.08231519605880694,-0.21177679404189845,2025-08-04 14:00:00+00:00,-0.5014732531455796,-0.21177679404189845,-0.05257010269118608,1.6285228173039539,-0.4982994357743796,-0.22936799272601646,,-1.4246851758595647,1.7228078692455957,-0.7699027634792336,-0.4982994799973578,-1.3500197406101888,,-0.09593831081457811,,,,,,,,,,,,,0.2753472001430606,0.0,-0.23968788804018903,-26.049957662233876,-0.20800435996635858,-0.08145012695531872,-1.1508364536668025,-0.10137873501709836,,,1.0,0.0
-0.12518423059336506,1.304747064881108,2025-08-04 14:00:00+00:00,-0.46251816772949433,1.304747064881108,0.13259650772056672,1.6285228173039539,-0.45934942700620063,-0.1432124167202999,,-1.5640939485383096,0.20052107176074224,-0.5113118084591742,-0.4593494695477633,-1.3500197406101888,,-0.03707900206319636,,-0.11807684111111984,,,0.5068875445349343,,,,,,,,1.005528198317367,0.0,-0.10464969967645968,-26.049957662233876,-0.12122433903788427,-0.0010933634878932267,-1.1508364536668025,-0.10137873501709836,,,1.0,0.0
-0.034013974649318976,0.5570072448545516,2025-08-04 14:00:00+00:00,-0.4235630823134091,0.5570072448545516,-0.13192722143908014,1.6285228173039539,-0.42039941823802157,-0.1432124167202999,,0.8211579519540283,-0.02738007202699299,-0.34190125312747827,-0.4203994657313158,0.7405119375397997,,-0.1265145751010102,,0.08944520797086922,,,-0.23785041541891136,,,1.0666332118185857,,,,,0.6455039198009641,0.0,-0.10464969967645968,-26.049957662233876,-0.12122433903788427,-0.0010933634878932267,-1.1508364536668025,-0.10137873501709836,,,1.0,0.0
0.13505351823815973,0.10069562374948166,2025-08-04 14:00:00+00:00,-0.38460799689732383,0.10069562374948166,0.0003346431407432945,1.6285228173039539,-0.3814494094698426,0.029098735291133226,,-1.6649349435867378,-0.14696463925088835,-0.19615769106446884,-0.3814494566083507,-1.3500197406101888,,0.07223114276079833,,-0.03902082241321927,,,-0.1561388138872443,,,1.073481942276149,,,,,0.4257974687506929,0.0,0.16441281892422313,-26.049957662233876,0.05233570281906537,0.15499834008858648,-1.1508364536668025,-0.10137873501709836,,,1.0,0.0
0.06978783530952358,-0.1407427745222269,2025-08-04 14:00:00+00:00,-0.3456529114812386,-0.1407427745222269,-0.13192722143908014,1.6285228173039539,-0.3424994007016636,0.20140988730256634,,0.6069421582226576,-0.250904028377342,-0.08064572983825931,-0.34249944748538563,0.7405119375397997,,-0.12396655307714086,,-0.02913882007598167,,,-0.08636547138001181,,,0.8541499783019294,,,,,0.309548898304303,0.0,0.4260800788793556,-26.049957662233876,0.22589574467601403,0.30530752191743815,-1.1508364536668025,-0.10137873501709836,,,1.0,0.0
0.059031323332981986,-0.4414058066716736,2025-08-04 14:00:00+00:00,-0.2677427406490681,-0.4414058066716736,0.10614413480460204,1.6285228173039539,-0.2645993831653057,0.20140988730256634,,0.6638696187972283,-0.37979866197502005,0.13008151597265497,-0.2645994186264202,0.7405119375397997,,0.20676670562109947,,-0.08250163269706459,,,-0.11161425151913115,-0.08249336437982137,,0.6282609701779536,1.1713189445327363,-1.312162912275237,,-1.1060826216918325,0.16478465233661566,0.0,0.4260800788793556,0.03837648447588862,0.22589574467601403,0.30530752191743815,-1.1508364536668025,-0.10137873501709836,,,1.0,0.0
0.12149242186036616,-1.0271663667798068,2025-08-04 14:00:00+00:00,0.08285302809569914,-1.0271663667798068,-0.026117729775221393,1.6285228173039539,0.08595069574830531,-0.8324570247660324,,-1.1096943532433192,-0.7431051694305975,0.4652920570486518,0.0859506422541951,-1.3500197406101888,,-0.11275525617211576,,-0.01135121586895405,,,-0.23185143167436614,-0.7950266967023243,,0.5385831034463683,0.7083486248194616,-1.254239525729932,,-1.7225062162571059,-1.0780695785995342,0.0,-1.1134528398039332,0.03837648447588862,-0.8154645064656799,-0.6934719104594526,-1.1508364536668025,-0.10137873501709836,,,1.0,0.0
0.05293789619992424,-0.7753021708071682,2025-08-04 14:00:00+00:00,0.3944937114243811,-0.7753021708071682,0.5029297285440724,1.6285228173039539,0.39755076589373733,2.3552992874454803,,0.33397430093976826,-0.8058229673033603,1.057417656681402,0.39755075769005677,0.7405119375397997,,0.03859725204572304,,-0.08250163269706459,,,0.1023408041108955,-0.4669032443264299,,-0.37210766493333525,0.07316139078028686,-0.8437116132856031,-2.186803023315715,-0.9699392148598114,-1.5079907900016563,0.0,2.042128276085479,0.03837648447588862,2.395396267887877,1.8257700564704096,-1.1508364536668025,-0.10137873501709836,,,1.0,0.0
0.04908476299777191,-1.1351379821776812,2025-08-04 14:00:00+00:00,0.7450894801691483,-1.1351379821776812,-0.026117729775221393,1.6285228173039539,0.7481008448073483,1.062965647359732,,-1.6408490077411753,-0.8176061069207552,1.6490097901239547,0.7481008397967426,-1.3500197406101888,,-0.12284542338663834,,0.20210003461537757,,,-0.14709665309398295,-0.45818184046267457,,-0.8924193836253507,-0.28866895383789604,-0.8444775304886286,-1.4174005465699275,-1.2835677478289513,-1.5390927093171494,0.0,1.4489358839302322,0.03837648447588862,1.0936959539607594,0.9831936108070204,-1.1508364536668025,-0.10137873501709836,,,1.0,0.0
-0.061706945076139164,-1.8012840328299555,2025-08-04 14:00:00+00:00,4.290002253032906,-1.8012840328299555,-0.13192722143908014,1.6285228173039539,4.292551642711636,3.216855047502646,,0.8934487600450933,-1.0064688031606819,4.147749784988098,4.292551754890847,0.7405119375397997,,-0.12284542338663834,,0.19024163181069242,,,-0.2956503274142786,-0.6600426338919383,,-1.3750540478845874,-0.7155777291828003,-0.7042521228387643,-2.136672180826939,-1.855836811636184,-1.1436843034886894,0.0,2.1420471745337157,0.03837648447588862,3.2631964771726225,2.303719946409573,-1.1508364536668025,-0.10137873501709836,,,1.0,0.0
